item_number,target,key,test,,,,,,,,,,,,,,,,,,,,,,
89,queen,NA,offline,,,,,,,,,,,,,,,,,,,,,,
90,train,NA,offline,,,,,,,,,,,,,,,,,,,,,,
91,church,NA,offline,,,,,,,,,,,,,,,,,,,,,,
92,anchor,NA,offline,,,,,,,,,,,,,,,,,,,,,,
93,whistle,NA,offline,,,,,,,,,,,,,,,,,,,,,,
94,corn,NA,offline,,,,,,,,,,,,,,,,,,,,,,
95,pyramid,NA,offline,,,,,,,,,,,,,,,,,,,,,,
96,typewriter,NA,offline,,,,,,,,,,,,,,,,,,,,,,
97,rope,NA,offline,,,,,,,,,,,,,,,,,,,,,,
98,basket,NA,offline,,,,,,,,,,,,,,,,,,,,,,
99,letter,NA,offline,,,,,,,,,,,,,,,,,,,,,,
100,nose,NA,offline,,,,,,,,,,,,,,,,,,,,,,
101,chimney,NA,offline,,,,,,,,,,,,,,,,,,,,,,
102,horse,NA,offline,,,,,,,,,,,,,,,,,,,,,,
103,key,NA,offline,,,,,,,,,,,,,,,,,,,,,,
104,fireman,NA,offline,,,,,,,,,,,,,,,,,,,,,,
105,cross,NA,offline,,,,,,,,,,,,,,,,,,,,,,
106,crutches,NA,offline,,,,,,,,,,,,,,,,,,,,,,
107,bone,NA,offline,,,,,,,,,,,,,,,,,,,,,,
108,cat,NA,offline,,,,,,,,,,,,,,,,,,,,,,
109,kitchen,NA,offline,,,,,,,,,,,,,,,,,,,,,,
110,dragon,NA,offline,,,,,,,,,,,,,,,,,,,,,,
111,saddle,NA,offline,,,,,,,,,,,,,,,,,,,,,,
112,pie,NA,offline,,,,,,,,,,,,,,,,,,,,,,
113,snail,NA,offline,,,,,,,,,,,,,,,,,,,,,,
114,pirate,NA,offline,,,,,,,,,,,,,,,,,,,,,,
115,clock,NA,offline,,,,,,,,,,,,,,,,,,,,,,
116,pumpkin,NA,offline,,,,,,,,,,,,,,,,,,,,,,
117,sock,NA,offline,,,,,,,,,,,,,,,,,,,,,,
118,closet,NA,offline,,,,,,,,,,,,,,,,,,,,,,
119,hair,NA,offline,,,,,,,,,,,,,,,,,,,,,,
120,baby,NA,offline,,,,,,,,,,,,,,,,,,,,,,
121,bat,NA,offline,,,,,,,,,,,,,,,,,,,,,,
122,leaf,NA,offline,,,,,,,,,,,,,,,,,,,,,,
123,slippers,NA,offline,,,,,,,,,,,,,,,,,,,,,,
124,mountain,NA,offline,,,,,,,,,,,,,,,,,,,,,,
125,sun,NA,offline,,,,,,,,,,,,,,,,,,,,,,
126,mustache,NA,offline,,,,,,,,,,,,,,,,,,,,,,
127,ear,NA,offline,,,,,,,,,,,,,,,,,,,,,,
128,door,NA,offline,,,,,,,,,,,,,,,,,,,,,,
129,house,NA,offline,,,,,,,,,,,,,,,,,,,,,,
130,nail,NA,offline,,,,,,,,,,,,,,,,,,,,,,
131,binoculars,NA,offline,,,,,,,,,,,,,,,,,,,,,,
132,celery,NA,offline,,,,,,,,,,,,,,,,,,,,,,
133,vase,NA,offline,,,,,,,,,,,,,,,,,,,,,,
134,pencil,NA,offline,,,,,,,,,,,,,,,,,,,,,,
135,elephant,NA,offline,,,,,,,,,,,,,,,,,,,,,,
136,hose,NA,offline,,,,,,,,,,,,,,,,,,,,,,
137,bench,NA,offline,,,,,,,,,,,,,,,,,,,,,,
138,zebra,NA,offline,,,,,,,,,,,,,,,,,,,,,,
139,man,NA,offline,,,,,,,,,,,,,,,,,,,,,,
140,seal,NA,offline,,,,,,,,,,,,,,,,,,,,,,
141,wig,NA,offline,,,,,,,,,,,,,,,,,,,,,,
142,necklace,NA,offline,,,,,,,,,,,,,,,,,,,,,,
143,desk,NA,offline,,,,,,,,,,,,,,,,,,,,,,
144,bell,NA,offline,,,,,,,,,,,,,,,,,,,,,,
145,star,NA,offline,,,,,,,,,,,,,,,,,,,,,,
146,hammer,NA,offline,,,,,,,,,,,,,,,,,,,,,,
147,pillow,NA,offline,,,,,,,,,,,,,,,,,,,,,,
148,spoon,NA,offline,,,,,,,,,,,,,,,,,,,,,,
149,zipper,NA,offline,,,,,,,,,,,,,,,,,,,,,,
150,top,NA,offline,,,,,,,,,,,,,,,,,,,,,,
151,flower,NA,offline,,,,,,,,,,,,,,,,,,,,,,
152,kite,NA,offline,,,,,,,,,,,,,,,,,,,,,,
153,suit,NA,offline,,,,,,,,,,,,,,,,,,,,,,
154,cake,NA,offline,,,,,,,,,,,,,,,,,,,,,,
155,hat,NA,offline,,,,,,,,,,,,,,,,,,,,,,
156,crown,NA,offline,,,,,,,,,,,,,,,,,,,,,,
157,piano,NA,offline,,,,,,,,,,,,,,,,,,,,,,
158,stethoscope,NA,offline,,,,,,,,,,,,,,,,,,,,,,
159,bride,NA,offline,,,,,,,,,,,,,,,,,,,,,,
160,butterfly,NA,offline,,,,,,,,,,,,,,,,,,,,,,
161,heart,NA,offline,,,,,,,,,,,,,,,,,,,,,,
162,skis,NA,offline,,,,,,,,,,,,,,,,,,,,,,
163,clown,NA,offline,,,,,,,,,,,,,,,,,,,,,,
164,volcano,NA,offline,,,,,,,,,,,,,,,,,,,,,,
165,pear,NA,offline,,,,,,,,,,,,,,,,,,,,,,
166,octopus,NA,offline,,,,,,,,,,,,,,,,,,,,,,
167,saw,NA,offline,,,,,,,,,,,,,,,,,,,,,,
168,camera,NA,offline,,,,,,,,,,,,,,,,,,,,,,
169,bed,NA,offline,,,,,,,,,,,,,,,,,,,,,,
170,harp,NA,offline,,,,,,,,,,,,,,,,,,,,,,
171,broom,NA,offline,,,,,,,,,,,,,,,,,,,,,,
172,nurse,NA,offline,,,,,,,,,,,,,,,,,,,,,,
173,eye,NA,offline,,,,,,,,,,,,,,,,,,,,,,
174,cowboy,NA,offline,,,,,,,,,,,,,,,,,,,,,,
175,monkey,NA,offline,,,,,,,,,,,,,,,,,,,,,,
